user 84   scene:3
time: 0.008654594421386719, score: [268.6263]
time: 0.03273439407348633, score: [275.9006]
time: 0.050365447998046875, score: [283.18866]
time: 0.0639498233795166, score: [290.55627]
time: 0.07633423805236816, score: [297.93063]
time: 0.0890345573425293, score: [305.30783]
time: 0.10470914840698242, score: [312.69104]
time: 0.12034893035888672, score: [320.07816]
time: 0.13224554061889648, score: [327.57477]
time: 0.14585590362548828, score: [335.13263]
time: 0.15803074836730957, score: [342.6992]
time: 0.1708507537841797, score: [350.27045]
time: 0.19476962089538574, score: [357.87057]
time: 0.2168257236480713, score: [365.49316]
time: 0.24007391929626465, score: [373.12466]
time: 0.2595343589782715, score: [380.749]
time: 0.28696751594543457, score: [388.43155]
time: 0.3091461658477783, score: [396.158]
time: 0.32628798484802246, score: [403.86966]
time: 0.3435347080230713, score: [411.5644]
time: 0.3583030700683594, score: [419.13184]
time: 0.3900723457336426, score: [426.4019]
time: 0.42145705223083496, score: [433.5714]
time: 0.4521186351776123, score: [438.30887]
time: 0.48274898529052734, score: [443.13266]
time: 0.5113458633422852, score: [448.23846]
time: 0.5400314331054688, score: [453.65225]
time: 0.5677216053009033, score: [459.0693]
time: 0.5955278873443604, score: [464.49124]
time: 0.6222817897796631, score: [469.91727]
time: 0.6347453594207764, score: [475.34494]
time: 0.6497054100036621, score: [480.782]
time: 0.6654229164123535, score: [486.266]
time: 0.6811554431915283, score: [488.7559]
time: 0.6961724758148193, score: [489.7337]
time: 0.7106673717498779, score: [490.72354]
time: 0.7256250381469727, score: [491.71933]
time: 0.7416555881500244, score: [492.92252]
time: 0.7569706439971924, score: [493.94675]
time: 0.7734129428863525, score: [494.93698]
time: 0.7909810543060303, score: [495.84842]
time: 0.8074700832366943, score: [496.62912]
time: 0.8244647979736328, score: [497.43753]
time: 0.841486930847168, score: [498.2341]
time: 0.8559024333953857, score: [498.86023]
time: 0.870938777923584, score: [498.5277]
time: 0.8862042427062988, score: [497.7725]
time: 0.9010720252990723, score: [496.9345]
time: 0.9148633480072021, score: [496.13422]
time: 0.9267284870147705, score: [495.5518]
time: 0.9432406425476074, score: [495.56296]
time: 0.9584848880767822, score: [495.51392]
time: 0.9781801700592041, score: [495.88834]
time: 0.9885215759277344, score: [496.3425]
time: 1.0012433528900146, score: [496.66592]
time: 1.0145695209503174, score: [496.7534]
time: 1.0259535312652588, score: [496.7021]
time: 1.038630723953247, score: [496.59927]
time: 1.0505976676940918, score: [496.48962]
time: 1.0620713233947754, score: [496.40338]
time: 1.0750930309295654, score: [496.36273]
time: 1.08583402633667, score: [496.3735]
time: 1.0977692604064941, score: [496.4172]
time: 1.109570026397705, score: [496.46432]
time: 1.120948314666748, score: [496.4948]
time: 1.1337387561798096, score: [496.504]
time: 1.1439940929412842, score: [496.49725]
time: 1.1547799110412598, score: [496.48306]
time: 1.166717529296875, score: [496.46906]
time: 1.1776108741760254, score: [496.46017]
time: 1.1889314651489258, score: [496.45776]
time: 1.199483871459961, score: [496.46048]
time: 1.2110800743103027, score: [496.46548]
time: 1.2231450080871582, score: [496.47012]
time: 1.2344231605529785, score: [496.4728]
time: 1.2443146705627441, score: [496.47327]
time: 1.2542736530303955, score: [496.4722]
time: 1.2657575607299805, score: [496.4705]
time: 1.2769339084625244, score: [496.46906]
